wall_thickness,draft_angle,corner_radius,aspect_ratio,undercut_present,wall_uniformity,material,risk_score,failure
2.82,2.259,1.109,3.125,0,0.453,PP,4.62,0
5.703,1.451,0.859,3.893,0,0.656,TPU,8.01,0
0.6,0.498,0.716,3.459,0,0.634,TPU,70.04,1
3.513,1.493,1.374,3.861,1,0.656,PC,59.04,1
4.139,0.145,0.612,4.299,0,0.685,Nylon,54.9,1
0.647,1.13,1.048,3.073,1,0.621,Nylon,82.64,1
1.125,1.461,0.669,7.956,1,0.873,PP,97.25,1
2.576,1.744,0.745,3.553,1,0.686,ABS,50.45,1
1.976,0.719,0.744,3.599,0,0.54,PC,33.23,0
5.827,2.376,0.613,4.207,1,0.673,PP,57.72,1
3.229,0.578,1.68,10.633,0,0.545,Nylon,34.27,0
1.513,1.453,0.742,4.424,0,0.463,PP,37.49,0
0.711,0.691,1.305,5.094,0,0.38,PC,77.0,1
4.184,0.644,1.267,12.846,0,0.479,PC,77.7,1
1.078,0.954,1.567,4.969,1,0.696,PC,58.5,1
3.407,0.451,0.445,2.162,0,0.395,PC,54.95,1
2.106,0.873,0.329,4.676,1,0.568,Nylon,56.64,1
3.059,0.953,1.333,3.717,1,0.968,TPU,32.95,0
4.583,1.928,1.145,5.883,0,0.665,ABS,32.61,0
5.552,0.691,1.119,7.075,0,0.735,PP,42.71,0
3.242,1.02,0.192,2.517,0,0.627,PC,22.8,0
0.923,1.05,1.289,2.111,0,0.313,TPU,47.52,1
2.335,1.012,0.59,6.392,0,0.817,ABS,0.91,0
2.526,0.07,1.128,2.342,1,0.723,Nylon,61.74,1
3.179,2.182,1.67,7.618,0,0.415,PP,9.71,0
3.5,1.7,1.294,3.764,0,0.528,PC,34.87,0
3.018,2.2,0.822,3.065,1,0.862,PP,32.58,0
3.581,0.554,0.799,7.58,1,0.713,PC,70.89,1
0.841,0.417,0.785,2.548,1,0.923,ABS,97.38,1
5.463,1.565,0.675,3.253,1,0.883,PP,46.44,1
3.002,1.296,0.956,5.512,0,0.876,PP,25.94,0
2.466,1.568,0.4,4.905,0,0.852,ABS,16.29,0
3.11,0.898,0.599,14.996,0,0.734,PP,50.41,1
3.371,1.545,1.671,5.592,1,0.701,PP,26.27,0
1.399,1.552,0.588,13.138,0,0.913,ABS,67.56,1
2.792,1.249,1.477,3.909,1,0.872,Nylon,36.14,0
0.568,0.393,0.825,8.406,0,0.783,TPU,67.21,1
1.144,1.281,0.498,8.015,1,0.734,PP,92.41,1
3.727,0.497,1.595,10.802,1,0.953,ABS,70.23,1
2.463,1.134,1.088,3.449,1,0.751,PC,31.65,0
1.055,0.49,0.82,4.734,0,0.597,TPU,29.89,0
0.704,2.02,0.968,2.413,1,0.744,ABS,76.15,1
1.298,0.817,0.943,13.329,0,0.644,ABS,95.65,1
4.04,0.816,0.978,10.139,0,0.692,ABS,75.43,1
2.392,2.146,0.726,3.894,0,0.58,ABS,9.5,0
2.702,2.006,0.63,4.205,1,0.561,ABS,42.37,0
0.504,1.817,1.214,8.041,1,0.863,PC,69.62,1
5.283,1.527,1.542,2.795,1,0.634,PP,59.99,1
0.735,0.19,0.619,15.0,0,0.92,PC,85.0,1
0.772,0.327,0.247,4.413,0,0.812,TPU,75.75,1
3.265,0.003,1.146,4.164,1,0.81,Nylon,57.77,1
3.316,0.104,0.6,7.75,0,0.399,TPU,38.61,0
0.909,1.99,0.67,2.772,0,0.584,PC,48.79,1
3.384,1.449,1.688,6.442,0,0.838,TPU,0.0,0
1.25,1.571,0.272,2.419,1,0.634,PP,97.88,1
2.224,0.443,1.612,9.073,1,0.727,Nylon,57.7,1
4.797,1.467,0.527,8.768,1,0.775,ABS,51.06,1
2.629,2.518,0.728,7.275,0,0.559,ABS,4.33,0
5.755,0.313,0.921,2.152,1,0.678,TPU,65.16,1
1.777,1.124,0.569,5.038,0,0.678,PC,10.09,0
3.561,1.923,0.508,4.678,1,0.279,PC,60.83,1
1.172,1.601,1.313,6.223,0,0.866,ABS,41.91,0
3.566,1.983,1.272,5.373,1,0.669,PC,63.79,1
3.573,0.538,1.172,2.12,1,0.513,TPU,46.62,1
0.972,1.58,1.185,9.008,0,0.652,TPU,57.02,1
3.158,1.167,1.248,4.555,0,0.629,ABS,17.39,0
4.747,1.508,1.014,7.281,0,0.61,ABS,33.24,0
1.33,1.835,1.469,6.887,1,0.545,PP,85.25,1
4.025,0.249,0.887,6.304,0,0.561,Nylon,50.96,1
1.445,2.435,0.615,4.069,0,0.486,PP,52.82,1
2.191,0.271,0.9,3.781,1,0.678,Nylon,66.6,1
0.5,1.782,0.809,3.17,0,0.798,PC,41.01,0
3.534,2.09,1.398,3.555,1,0.706,PC,50.19,1
1.183,1.318,1.244,7.743,0,0.927,PC,2.12,0
2.671,1.241,0.756,14.999,1,0.903,ABS,49.73,1
5.466,2.292,1.483,5.354,0,0.724,PP,25.41,0
3.344,0.354,0.385,6.071,1,0.793,Nylon,70.56,1
5.711,0.498,0.517,4.142,0,0.474,TPU,13.27,0
3.546,0.587,1.277,14.988,0,0.675,Nylon,53.45,1
1.119,0.682,1.519,2.189,0,0.52,ABS,74.13,1
0.945,1.211,0.561,4.591,1,0.568,ABS,80.92,1
3.566,1.81,0.681,6.585,1,0.913,Nylon,48.38,1
5.067,1.681,0.959,6.35,1,0.8,PP,38.55,0
0.973,2.101,0.492,5.119,0,0.374,PP,73.23,1
3.108,2.437,0.993,6.024,0,0.915,PP,9.47,0
0.775,1.433,0.615,4.115,0,0.627,TPU,45.22,1
2.359,0.28,0.648,2.546,1,0.807,PC,54.29,1
2.645,1.451,0.632,3.135,0,0.899,ABS,0.09,0
4.695,0.915,0.833,5.686,1,0.467,ABS,77.95,1
0.534,0.248,1.202,4.212,1,0.831,Nylon,92.88,1
0.733,1.709,1.603,3.573,0,0.481,PP,48.07,1
0.863,1.526,0.728,9.668,0,0.58,Nylon,48.47,1
3.042,1.998,1.23,3.947,0,0.815,PP,0.0,0
2.36,0.923,1.002,6.867,1,0.889,Nylon,34.95,0
3.414,2.217,1.064,2.24,0,0.574,PP,12.88,0
4.583,0.829,0.955,6.484,1,0.717,ABS,70.62,1
6.0,1.105,0.615,6.839,0,0.527,TPU,9.48,0
1.381,0.462,1.113,4.46,0,0.761,Nylon,25.03,0
0.513,1.134,0.803,5.142,0,0.51,PC,42.93,0
6.0,1.473,1.095,4.395,1,0.699,TPU,44.91,0
1.121,1.62,0.905,3.545,0,0.756,ABS,32.48,0
0.949,1.867,1.042,5.02,0,0.689,TPU,53.36,1
0.696,0.185,0.487,8.04,0,0.694,PC,96.62,1
2.552,2.033,0.757,3.455,1,0.63,PP,40.05,0
4.363,1.264,0.786,1.974,1,0.377,ABS,61.79,1
0.5,2.206,0.653,5.12,0,0.704,PC,54.03,1
4.379,0.978,0.186,9.402,0,0.728,ABS,61.51,1
3.696,0.476,1.073,8.114,1,0.767,ABS,63.95,1
3.316,0.284,0.655,7.709,1,0.575,TPU,62.89,1
1.432,1.464,0.855,2.566,0,0.673,ABS,53.03,1
3.331,0.143,0.444,4.872,0,0.838,TPU,38.65,0
2.141,1.299,1.586,2.968,1,0.58,Nylon,36.95,0
1.075,1.889,0.202,6.537,0,0.756,ABS,54.84,1
4.306,0.405,1.268,4.12,1,0.911,Nylon,71.94,1
2.066,1.551,0.629,5.09,1,0.835,PC,29.85,0
2.755,1.6,0.89,7.865,0,0.889,ABS,0.0,0
0.939,1.21,1.721,3.85,0,0.58,PC,52.76,1
2.246,1.12,0.903,3.778,1,0.651,ABS,46.85,1
2.177,0.703,0.619,4.42,0,0.783,ABS,27.91,0
0.504,0.969,0.739,2.505,0,0.762,PC,61.34,1
3.834,0.643,1.008,5.371,1,0.865,ABS,53.5,1
3.076,0.871,1.192,6.239,0,0.502,TPU,7.66,0
2.988,1.784,0.669,12.559,0,0.803,TPU,12.43,0
1.333,1.01,1.015,5.94,0,0.836,PP,58.31,1
1.745,1.923,0.923,13.369,1,0.9,PC,53.41,1
4.009,0.97,0.848,2.827,0,0.595,PC,52.11,1
2.697,0.788,0.24,4.312,0,0.546,PP,56.17,1
2.741,0.506,1.735,10.829,0,0.631,ABS,57.19,1
0.655,0.24,0.67,5.609,1,0.696,ABS,100.0,1
1.151,2.252,0.687,2.344,0,0.923,ABS,47.1,1
2.58,1.609,1.242,5.392,1,0.499,ABS,45.66,1
1.155,0.622,0.194,5.355,0,0.889,Nylon,55.19,1
2.768,1.865,1.26,3.529,1,0.683,ABS,39.0,0
3.621,1.509,0.88,9.037,0,0.687,PP,6.83,0
3.283,1.665,0.242,4.674,0,0.841,PP,17.55,0
2.013,0.934,0.753,2.643,0,0.555,PC,32.05,0
4.366,0.171,1.799,3.483,0,0.7,Nylon,50.05,1
3.088,0.944,0.658,3.211,0,0.946,PP,26.65,0
2.155,2.244,0.818,4.781,0,0.808,PC,0.0,0
2.515,0.991,0.498,5.067,0,0.44,Nylon,4.48,0
2.243,0.409,0.322,1.986,1,0.82,Nylon,66.5,1
0.549,0.852,1.538,4.25,1,0.701,Nylon,81.92,1
0.593,0.336,1.084,6.431,1,0.753,PC,98.97,1
2.212,2.537,1.477,6.895,1,0.675,ABS,44.19,0
3.666,0.0,1.769,1.86,1,0.832,TPU,50.94,1
0.761,1.578,0.895,4.352,0,0.785,TPU,40.81,0
4.451,1.114,0.736,4.335,0,0.847,PC,18.63,0
1.578,1.899,0.414,6.945,0,0.717,ABS,18.03,0
0.5,0.439,0.487,6.298,0,0.564,PC,93.45,1
1.4,1.731,1.085,3.429,0,0.565,PP,53.4,1
2.85,1.508,0.945,7.501,1,0.833,ABS,36.04,0
3.352,2.418,1.555,2.751,1,0.942,PP,33.31,0
0.838,1.736,0.467,7.327,0,0.628,Nylon,66.43,1
2.56,1.16,0.461,7.772,0,0.593,ABS,26.64,0
6.0,2.012,1.47,6.485,0,0.881,TPU,4.88,0
4.26,0.453,0.923,3.944,0,0.729,ABS,43.39,0
1.6,1.674,1.838,5.486,0,0.677,PP,2.7,0
0.722,2.434,1.054,5.444,0,0.213,PC,52.99,1
0.735,1.549,1.253,15.0,0,0.667,PP,74.46,1
1.744,1.78,1.227,7.325,0,0.946,PC,1.13,0
1.073,1.711,0.555,3.276,0,0.659,PP,50.59,1
4.085,0.982,0.533,3.26,0,0.573,PC,63.07,1
2.742,1.855,0.905,8.805,1,0.906,PP,26.93,0
2.165,0.443,1.111,4.017,1,0.425,Nylon,60.29,1
0.987,2.078,1.012,5.097,1,0.78,PC,76.89,1
0.779,2.484,0.718,5.392,1,0.727,PP,70.45,1
0.868,2.741,1.187,3.871,0,0.834,PP,47.23,1
1.575,1.074,1.01,14.561,0,0.534,PP,58.21,1
1.296,1.97,1.2,5.761,0,0.694,ABS,57.82,1
3.321,1.077,0.61,5.461,1,0.857,ABS,33.23,0
3.348,2.578,1.477,8.826,0,0.631,PP,13.13,0
1.04,2.307,0.607,7.816,0,0.676,PP,46.08,1
4.79,1.993,0.231,10.877,1,0.446,PP,71.05,1
1.542,2.178,1.388,6.056,1,0.78,PP,33.47,0
2.754,1.94,0.454,8.23,0,0.925,ABS,18.18,0
0.952,1.188,0.472,1.412,1,0.887,ABS,86.87,1
0.973,2.236,1.174,6.0,0,0.445,PP,53.88,1
0.561,1.686,1.303,3.161,1,0.812,PC,72.3,1
2.379,0.0,1.381,8.114,1,0.855,Nylon,54.85,1
4.066,1.567,0.933,12.813,1,0.587,ABS,77.6,1
0.643,1.324,0.865,9.963,0,0.725,PC,41.75,0
3.709,1.591,0.384,4.283,1,0.966,PC,71.56,1
2.323,0.343,1.232,10.916,0,0.696,Nylon,48.1,1
4.071,1.438,0.792,4.293,0,0.857,Nylon,18.38,0
2.969,0.473,0.142,5.643,1,0.864,TPU,63.67,1
0.549,0.671,0.691,4.076,0,0.552,Nylon,54.87,1
5.542,1.344,1.02,3.589,0,0.374,PP,61.86,1
1.864,1.047,1.208,6.889,1,0.515,Nylon,45.36,1
4.102,0.844,1.598,3.654,0,0.794,ABS,46.57,1
1.952,0.032,0.401,3.435,0,0.679,Nylon,49.24,1
3.276,0.614,0.383,3.131,0,0.864,PC,40.27,0
1.636,1.597,0.968,2.948,1,0.738,PP,29.82,0
2.746,1.969,0.717,8.185,1,0.797,ABS,25.7,0
4.016,1.926,1.285,2.3,1,0.378,ABS,61.4,1
0.538,0.753,1.043,3.414,0,0.749,PC,65.57,1
5.576,2.338,1.112,8.437,0,0.881,PP,18.23,0
4.355,0.004,0.987,3.11,0,0.867,Nylon,49.98,1
0.924,1.618,1.09,3.589,0,0.893,Nylon,41.85,0
3.302,2.205,0.648,1.655,1,0.762,PP,35.38,0
3.599,1.435,0.434,7.172,1,0.585,TPU,53.17,1
1.332,1.497,0.941,4.696,0,0.804,Nylon,0.0,0
3.903,0.203,1.08,2.684,1,0.831,ABS,55.21,1
1.975,1.414,0.525,2.057,0,0.716,PC,0.0,0
1.227,0.011,0.479,5.192,0,0.36,Nylon,47.55,1
4.934,1.421,0.534,9.473,0,0.705,PP,26.39,0
1.237,2.492,1.179,2.035,0,0.71,PP,44.67,0
0.876,0.918,1.553,10.088,0,0.753,PC,84.93,1
2.234,0.976,0.795,5.454,1,0.465,Nylon,45.73,1
0.571,1.983,1.331,3.48,1,0.473,PC,80.51,1
6.0,1.628,0.4,2.612,0,0.717,TPU,7.9,0
1.234,0.631,1.548,14.672,0,0.486,ABS,97.46,1
3.652,0.555,1.103,2.287,1,0.774,TPU,27.68,0
1.151,0.0,0.287,12.84,1,0.518,Nylon,100.0,1
2.747,0.227,1.075,5.745,0,0.598,Nylon,41.52,0
1.521,0.264,1.424,3.686,1,0.545,ABS,72.34,1
1.256,1.577,1.397,11.077,0,0.607,PP,68.82,1
1.561,2.266,0.695,3.023,1,0.561,ABS,43.46,0
2.931,1.502,0.366,2.356,0,0.784,TPU,18.34,0
6.0,0.209,0.338,4.121,0,0.482,TPU,52.74,1
2.485,1.834,1.278,5.254,1,0.818,Nylon,28.98,0
2.519,2.086,0.382,7.398,0,0.676,ABS,21.51,0
4.633,0.8,1.549,5.635,1,0.426,PP,64.57,1
5.72,2.549,0.169,3.212,1,0.716,PP,68.94,1
1.111,0.949,0.559,10.387,1,0.658,TPU,61.54,1
0.653,1.34,0.984,8.211,0,0.637,Nylon,45.16,1
3.385,0.573,1.402,5.373,0,0.626,Nylon,15.24,0
0.5,0.72,0.265,3.579,0,0.641,Nylon,66.95,1
0.973,2.007,0.798,1.419,1,0.902,PP,71.61,1
1.105,1.871,1.344,1.26,1,0.439,PP,74.05,1
4.881,1.97,0.999,2.202,0,0.748,ABS,21.27,0
6.0,0.0,0.549,1.292,0,0.689,TPU,25.46,0
3.332,1.993,0.643,5.122,0,0.608,PP,10.16,0
3.465,1.218,0.846,2.422,1,0.479,PP,70.03,1
5.456,2.595,0.95,8.636,1,0.847,PP,54.35,1
1.77,1.878,0.482,2.907,0,0.515,PC,21.96,0
0.705,2.007,0.963,5.379,0,0.598,PP,49.27,1
1.325,1.525,0.739,5.155,0,0.481,ABS,54.46,1
2.695,1.873,0.739,8.41,0,0.704,ABS,1.55,0
3.092,1.552,0.34,3.402,1,0.846,PP,40.57,0
4.638,1.561,1.472,3.193,1,0.617,ABS,63.06,1
3.791,2.035,0.761,3.977,0,0.811,ABS,0.63,0
4.877,2.066,1.301,5.631,0,0.889,ABS,28.63,0
0.5,0.017,1.633,6.278,0,0.762,TPU,67.38,1
0.683,0.951,1.068,8.327,1,0.731,TPU,74.76,1
0.514,0.061,1.45,1.005,0,0.885,Nylon,73.78,1
0.503,0.0,0.901,4.101,0,0.885,TPU,64.56,1
0.599,1.152,1.274,9.299,1,0.666,Nylon,78.93,1
1.803,1.767,0.738,3.678,0,0.765,Nylon,0.0,0
2.927,1.699,0.687,15.0,0,0.662,PP,38.98,0
0.557,0.947,0.558,6.029,0,0.567,PC,77.43,1
5.981,1.543,0.977,9.573,0,0.465,TPU,14.06,0
6.0,0.0,0.663,15.0,0,0.696,TPU,46.73,1
0.649,1.109,0.981,10.87,0,0.702,TPU,61.95,1
1.697,0.933,1.385,3.903,1,0.655,PP,64.72,1
2.253,2.051,1.123,2.119,0,0.865,PC,0.0,0
1.053,1.054,1.241,6.119,0,0.806,TPU,0.0,0
3.814,0.855,0.748,3.378,0,0.587,ABS,35.69,0
0.641,0.878,0.874,4.228,0,0.463,PC,84.45,1
1.798,1.078,0.413,3.077,0,0.753,PP,45.72,1
1.082,0.015,0.794,1.724,1,0.612,TPU,58.34,1
0.752,1.466,1.378,3.358,1,0.467,PC,73.44,1
3.585,1.511,0.559,2.186,0,0.763,Nylon,20.66,0
2.241,1.38,1.559,2.861,1,0.662,ABS,40.06,0
2.638,0.853,0.892,4.57,0,0.869,PP,19.99,0
3.247,2.092,0.905,4.616,0,0.747,PP,0.0,0
2.743,1.148,0.472,3.377,1,0.475,PP,72.99,1
2.596,1.425,1.423,9.861,1,0.466,Nylon,33.45,0
4.558,1.708,0.187,4.262,1,0.989,ABS,65.54,1
4.003,2.234,1.109,10.425,0,0.528,PC,52.01,1
5.777,0.375,0.793,5.217,0,0.914,TPU,22.55,0
1.287,1.044,0.679,6.43,0,0.892,PP,68.84,1
0.87,1.019,1.227,7.951,0,0.644,PP,73.61,1
5.043,1.169,0.524,2.627,0,0.581,PP,55.44,1
4.272,2.455,1.098,5.152,1,0.666,ABS,56.45,1
0.974,1.052,0.885,3.578,1,0.716,TPU,64.73,1
2.766,1.556,1.674,5.048,0,0.801,PC,2.84,0
1.93,0.296,1.133,1.79,0,0.669,PC,36.98,0
1.232,0.584,1.022,14.454,1,0.886,PC,83.66,1
3.931,1.801,0.79,6.819,0,0.717,Nylon,20.66,0
1.298,1.794,0.382,9.502,1,0.806,PP,77.41,1
1.8,0.314,1.273,1.917,0,0.538,Nylon,33.54,0
1.9,1.01,0.258,10.424,1,0.837,Nylon,62.28,1
0.875,2.063,1.094,4.992,1,0.853,PC,64.69,1
6.0,1.457,1.649,10.186,1,0.842,TPU,53.58,1
0.981,0.422,1.868,3.814,0,0.666,PP,77.31,1
5.859,0.866,0.643,6.382,1,0.669,PP,80.2,1
2.499,1.482,0.561,3.354,1,0.768,PP,59.59,1
3.962,2.375,0.373,6.097,1,0.913,PC,61.77,1
3.334,1.528,1.327,6.074,0,0.667,TPU,9.67,0
0.795,1.373,1.071,3.384,1,0.628,PP,100.0,1
5.33,0.408,0.619,14.997,0,0.54,ABS,83.85,1
1.707,1.134,0.331,4.746,0,0.463,PP,54.62,1
0.953,1.099,1.139,3.751,0,0.673,ABS,48.57,1
4.408,1.2,0.762,4.856,1,0.734,Nylon,52.34,1
2.48,0.529,1.405,6.283,0,0.931,ABS,21.86,0
0.88,1.251,0.404,3.893,0,0.705,ABS,50.93,1
1.082,1.115,0.577,11.709,0,0.851,ABS,58.78,1
3.223,1.438,0.918,4.036,0,0.584,Nylon,14.29,0
1.26,0.649,0.436,5.733,0,0.868,PC,39.58,0
1.609,1.027,1.232,7.168,0,0.655,Nylon,10.19,0
2.667,1.892,1.275,5.693,1,0.717,ABS,27.76,0
3.813,0.008,0.775,5.386,0,0.511,Nylon,52.44,1
0.515,1.428,1.662,9.146,0,0.752,Nylon,48.97,1
1.161,0.644,1.395,5.169,1,0.6,Nylon,89.16,1
0.573,1.168,1.516,4.406,1,0.791,PC,71.68,1
2.471,1.037,0.512,3.474,0,0.845,PC,4.29,0
1.084,0.773,0.697,5.154,1,0.589,ABS,100.0,1
1.082,1.098,0.626,2.377,0,0.618,PC,9.89,0
0.564,0.998,0.552,3.973,0,0.59,PC,47.14,1
1.777,0.864,0.987,2.407,0,0.957,ABS,28.98,0
4.373,0.409,0.512,14.99,1,0.771,Nylon,99.94,1
3.978,2.634,1.046,11.948,0,0.531,ABS,31.03,0
0.508,1.175,0.239,7.625,0,0.435,ABS,60.97,1
1.426,1.498,0.818,1.0,0,0.675,PP,84.22,1
0.772,0.879,0.864,4.814,0,0.667,PP,73.3,1
2.617,0.783,0.316,2.95,0,0.608,PC,55.3,1
3.771,1.633,1.246,3.871,0,0.437,PC,28.79,0
4.52,1.515,0.704,3.768,1,0.674,ABS,59.87,1
2.3,1.023,0.65,2.452,0,0.905,ABS,0.0,0
1.155,1.861,1.269,2.996,0,0.657,PP,49.28,1
0.751,1.51,0.214,3.31,0,0.8,PC,51.6,1
4.608,1.28,0.707,4.493,0,0.579,ABS,30.14,0
5.407,1.976,1.084,2.669,1,0.406,PP,50.99,1
3.789,1.254,0.742,3.413,1,0.749,Nylon,50.89,1
1.155,1.099,1.347,8.863,1,0.449,PC,38.88,0
0.593,0.151,1.18,3.248,0,0.794,Nylon,70.85,1
0.857,0.605,0.624,6.006,1,0.782,Nylon,67.78,1
5.798,0.731,1.409,7.363,1,0.874,PP,70.9,1
1.309,0.631,0.496,6.953,1,0.743,ABS,100.0,1
0.528,0.354,1.495,2.299,0,0.89,PC,71.52,1
0.734,1.281,0.484,7.822,0,0.681,PC,63.37,1
0.501,0.0,1.474,2.525,0,0.786,Nylon,64.38,1
3.073,2.044,0.297,4.569,0,0.585,PP,18.73,0
2.524,0.547,1.356,4.033,0,0.71,Nylon,6.69,0
1.898,1.096,0.861,3.998,0,0.724,PC,3.65,0
2.138,1.192,0.167,7.809,1,0.702,PC,53.56,1
6.0,1.421,0.471,4.109,0,0.542,PP,68.74,1
2.289,2.091,1.499,13.586,1,0.39,ABS,61.8,1
0.734,1.962,1.388,3.25,1,0.299,PC,79.05,1
1.773,2.891,0.945,4.06,0,0.837,PC,0.0,0
2.817,1.474,1.359,3.707,0,0.735,PP,21.32,0
0.872,1.589,1.371,2.16,1,0.776,PP,71.23,1
1.693,1.483,0.339,6.401,0,0.701,PP,61.06,1
1.579,1.695,0.591,3.747,1,0.624,PP,41.76,0
0.574,1.287,0.954,3.118,1,0.679,PC,74.18,1
1.136,0.359,0.685,5.833,1,0.67,Nylon,100.0,1
3.797,0.065,0.641,6.692,1,0.389,TPU,68.24,1
3.99,1.966,1.207,3.621,1,0.686,PC,57.92,1
1.303,1.884,1.123,2.887,0,0.761,PC,0.0,0
0.585,0.64,0.782,3.471,0,0.723,TPU,43.81,0
0.613,0.829,0.671,1.504,0,0.648,PC,75.11,1
2.69,0.164,0.277,4.068,0,0.495,ABS,46.32,1
5.879,0.007,1.47,3.025,0,0.73,TPU,19.04,0
2.411,1.981,0.415,2.332,1,0.646,ABS,57.2,1
3.138,0.471,0.909,4.592,1,0.458,PC,61.11,1
3.872,1.014,0.799,4.656,1,0.461,ABS,35.88,0
2.849,1.789,0.723,14.993,1,0.68,PP,63.91,1
3.579,1.719,0.442,4.457,0,0.656,Nylon,47.03,1
4.348,0.661,0.812,4.789,0,0.639,ABS,57.69,1
1.548,1.147,0.678,2.219,0,0.747,PP,21.24,0
3.013,1.498,0.568,6.875,1,0.481,TPU,40.01,0
0.512,0.0,0.922,10.554,1,0.667,TPU,100.0,1
1.86,2.083,1.067,2.686,1,0.671,PC,44.54,0
0.842,1.501,0.954,6.166,0,0.671,ABS,47.45,1
4.361,0.865,0.644,1.915,1,0.821,Nylon,51.31,1
2.831,1.636,1.563,6.524,0,0.809,PP,2.17,0
2.016,0.562,0.978,12.613,0,0.627,Nylon,20.89,0
5.327,1.531,1.725,1.244,0,0.78,ABS,20.22,0
2.132,1.931,1.269,7.531,0,0.411,PC,4.5,0
2.486,0.986,0.709,8.099,1,0.434,ABS,59.24,1
3.643,0.0,1.64,3.822,1,0.627,TPU,63.67,1
4.548,2.037,0.236,11.272,1,0.448,PP,74.82,1
0.518,1.274,0.559,10.137,1,0.904,TPU,92.43,1
3.201,0.457,0.559,6.76,1,0.316,TPU,62.34,1
2.869,1.031,0.757,6.33,1,0.738,Nylon,33.1,0
0.82,1.724,0.634,3.874,1,0.654,ABS,84.78,1
1.437,1.753,0.517,3.767,1,0.934,ABS,65.84,1
2.312,1.861,0.479,4.362,0,0.851,PC,11.12,0
2.331,0.478,0.783,2.717,1,0.735,ABS,49.23,1
0.99,1.299,0.559,13.03,0,0.841,TPU,54.12,1
2.893,1.059,0.342,5.528,0,0.772,PP,39.98,0
0.507,1.16,0.318,4.416,1,0.54,ABS,93.52,1
3.158,2.497,0.855,3.913,0,0.825,PP,0.0,0
0.902,0.347,1.058,8.555,1,0.912,ABS,97.25,1
3.329,1.147,0.737,6.639,1,0.486,PP,63.35,1
1.147,2.014,0.867,1.376,0,0.674,TPU,4.41,0
2.991,1.508,1.44,3.592,0,0.495,PP,34.15,0
1.498,1.606,1.475,6.62,0,0.543,PP,50.52,1
6.0,1.021,0.474,8.367,0,0.947,TPU,14.08,0
3.172,1.241,0.646,2.128,1,0.899,PP,56.54,1
5.659,1.501,0.953,2.914,1,0.549,PP,59.85,1
3.995,0.434,0.79,6.592,0,0.623,PC,60.38,1
4.231,1.589,1.399,4.083,1,0.598,Nylon,67.51,1
1.078,1.764,1.337,7.08,0,0.564,PP,50.89,1
2.62,0.538,0.969,4.974,1,0.718,ABS,55.85,1
0.966,2.03,0.641,1.849,0,0.601,PP,50.04,1
0.858,1.031,1.407,2.598,0,0.782,PP,63.8,1
0.5,1.455,0.766,11.53,0,0.626,TPU,68.08,1
2.351,0.154,0.541,5.689,1,0.714,Nylon,50.24,1
1.148,1.715,1.657,5.243,1,0.513,TPU,29.5,0
0.935,0.879,1.142,2.845,1,0.91,ABS,94.64,1
5.85,1.663,0.994,4.383,0,0.454,PP,34.12,0
2.842,2.271,0.454,3.992,1,0.777,ABS,38.55,0
1.196,1.062,1.41,5.237,0,0.679,PP,79.27,1
0.983,1.632,0.489,2.461,0,0.87,PP,61.99,1
3.543,2.615,0.834,1.496,1,0.591,PP,37.4,0
5.163,2.177,0.956,8.938,1,0.748,PP,47.97,1
1.638,2.353,1.059,3.07,0,0.707,PP,0.0,0
0.623,0.012,1.233,4.506,0,0.458,Nylon,75.86,1
4.732,1.83,1.429,4.633,0,0.778,ABS,18.68,0
2.719,1.428,0.852,3.453,0,0.819,ABS,0.0,0
1.457,2.61,1.121,5.975,1,0.649,PP,79.42,1
3.549,0.914,0.827,7.211,1,0.794,PC,75.84,1
6.0,0.984,0.454,7.839,1,0.669,TPU,53.31,1
0.76,2.184,0.362,2.464,1,0.508,PP,98.03,1
3.041,1.006,0.806,7.328,1,0.581,PP,64.35,1
0.902,2.387,1.334,4.422,1,0.802,PP,62.35,1
2.967,1.834,1.77,2.366,1,0.867,PP,32.21,0
0.768,1.127,1.371,2.815,0,0.712,Nylon,39.61,0
2.914,2.12,0.604,1.913,0,0.901,PP,0.0,0
3.521,2.364,1.194,2.874,0,0.767,TPU,8.03,0
5.991,1.26,0.775,9.268,1,0.616,TPU,44.5,0
0.517,2.197,0.964,8.736,0,0.746,PC,32.89,0
1.864,0.906,0.897,5.091,0,0.602,PC,34.09,0
1.285,1.16,1.223,5.411,0,0.398,ABS,48.51,1
1.699,1.565,1.658,7.911,0,0.497,Nylon,13.45,0
3.489,0.623,0.393,3.801,1,0.633,TPU,53.21,1
1.49,0.889,0.817,2.398,0,0.691,PP,72.05,1
0.532,1.489,0.667,9.552,0,0.864,PC,37.89,0
2.528,2.522,0.206,2.77,1,0.639,ABS,48.3,1
1.397,1.294,0.983,5.659,0,0.435,PP,75.42,1
0.818,1.677,1.334,5.711,0,0.43,PP,42.77,0
1.479,0.879,0.168,1.323,0,0.807,ABS,79.39,1
3.481,1.154,0.372,3.266,1,0.81,Nylon,45.42,1
0.973,0.0,1.584,3.025,0,0.487,TPU,79.24,1
1.98,1.261,1.067,7.747,0,0.759,Nylon,0.08,0
0.5,1.139,0.776,3.832,0,0.34,TPU,58.52,1
2.942,1.823,0.321,9.733,1,0.514,ABS,58.38,1
3.129,0.967,1.145,7.021,0,0.473,TPU,3.3,0
